Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
G61 3FA,Yes,55.929038,-4.311092,255707,673076,NS557730,"Bearsden North","",2019-06-01,,37,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3FB,Yes,55.929248,-4.31237,255628,673102,NS556731,"Bearsden North","",2018-06-01,,61,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008052,"Kilmardinny East - 03"
G61 3FD,Yes,55.928888,-4.312412,255624,673062,NS556730,"Bearsden North","",2020-09-01,,37,Scotland,2021-11-12,"Imputed by ONS by reference to surrounding postcode grid references",S01008052,"Kilmardinny East - 03"
G61 3FE,Yes,55.928888,-4.312412,255624,673062,NS556730,"Bearsden North","",2020-08-01,,37,Scotland,2021-11-12,"Imputed by ONS by reference to surrounding postcode grid references",S01008052,"Kilmardinny East - 03"
G61 3HA,Yes,55.929337,-4.323228,254950,673135,NS549731,"Bearsden North","",1980-01-01,,65,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3HB,Yes,55.929641,-4.321918,255033,673166,NS550731,"Bearsden North","",1980-01-01,,66,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3HD,Yes,55.929899,-4.323486,254936,673198,NS549731,"Bearsden North","",1980-01-01,,64,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3HE,Yes,55.9301,-4.324715,254860,673223,NS548732,"Bearsden North","",1980-01-01,,63,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3HF,Yes,55.930375,-4.321113,255086,673246,NS550732,"Bearsden North","",1980-01-01,,61,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3HG,Yes,55.930044,-4.319749,255170,673206,NS551732,"Bearsden North","",1980-01-01,,63,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3HH,Yes,55.930415,-4.322348,255009,673253,NS550732,"Bearsden North","",1980-01-01,,61,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3HJ,Yes,55.930922,-4.322587,254996,673310,NS549733,"Bearsden North","",1980-01-01,,58,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3HL,Yes,55.929836,-4.320601,255116,673185,NS551731,"Bearsden North","",1980-01-01,,65,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3HN,Yes,55.930237,-4.318431,255253,673225,NS552732,"Bearsden North","",1980-01-01,,59,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3HP,No,55.930454,-4.318844,255228,673250,NS552732,"Bearsden North","",1986-12-01,1992-07-01,59,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008051,"Kilmardinny East - 02"
G61 3HQ,Yes,55.93099,-4.319469,255191,673311,NS551733,"Bearsden North","",1980-01-01,,56,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008051,"Kilmardinny East - 02"
G61 3HR,No,55.930978,-4.319644,255180,673310,NS551733,"Bearsden North","",1992-02-01,1992-07-01,56,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008051,"Kilmardinny East - 02"
G61 3HU,Yes,55.927751,-4.336292,254128,672986,NS541729,"Bearsden North","",1980-01-01,,69,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
G61 3HW,No,55.929586,-4.337651,254050,673193,NS540731,"Bearsden North","",1986-12-01,1992-07-01,71,Scotland,2021-11-12,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",S01008056,"Kilmardinny West - 03"
G61 3HX,Yes,55.931448,-4.338996,253973,673403,NS539734,"Bearsden North","",1980-01-01,,70,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
G61 3HY,Yes,55.928522,-4.337363,254064,673074,NS540730,"Bearsden North","",1980-01-01,,71,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
G61 3HZ,Yes,55.929419,-4.337898,254034,673175,NS540731,"Bearsden North","",1980-01-01,,72,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008056,"Kilmardinny West - 03"
G61 3JA,Yes,55.929944,-4.338201,254017,673234,NS540732,"Bearsden North","",1980-01-01,,72,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008056,"Kilmardinny West - 03"
G61 3JB,Yes,55.932839,-4.340025,253914,673560,NS539735,"Bearsden North","",1980-01-01,,72,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
G61 3JD,Yes,55.932871,-4.338826,253989,673561,NS539735,"Bearsden North","",1980-01-01,,70,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
G61 3JE,Yes,55.931737,-4.337925,254041,673433,NS540734,"Bearsden North","",1980-01-01,,69,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
G61 3JF,Yes,55.932598,-4.335703,254183,673524,NS541735,"Bearsden North","",1980-01-01,,69,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
G61 3JG,Yes,55.931084,-4.335917,254164,673356,NS541733,"Bearsden North","",1980-01-01,,70,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
G61 3JH,Yes,55.930322,-4.336719,254111,673273,NS541732,"Bearsden North","",1980-01-01,,69,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008056,"Kilmardinny West - 03"
G61 3JJ,Yes,55.930762,-4.335962,254160,673320,NS541733,"Bearsden North","",1980-01-01,,70,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
G61 3JL,Yes,55.930167,-4.334004,254280,673250,NS542732,"Bearsden North","",1980-01-01,,70,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
G61 3JN,Yes,55.930126,-4.332865,254351,673243,NS543732,"Bearsden North","",1980-01-01,,68,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008050,"Kilmardinny East - 01"
G61 3JP,Yes,55.93001,-4.33662,254116,673238,NS541732,"Bearsden North","",1980-01-01,,69,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008056,"Kilmardinny West - 03"
G61 3JQ,Yes,55.930391,-4.338773,253983,673285,NS539732,"Bearsden North","",1980-01-01,,73,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
G61 3JR,Yes,55.929537,-4.335471,254186,673183,NS541731,"Bearsden North","",1980-01-01,,68,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
G61 3JS,Yes,55.929398,-4.336664,254111,673170,NS541731,"Bearsden North","",1980-01-01,,69,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008056,"Kilmardinny West - 03"
G61 3JT,Yes,55.92865,-4.336298,254131,673086,NS541730,"Bearsden North","",1980-01-01,,67,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008056,"Kilmardinny West - 03"
G61 3JU,Yes,55.929067,-4.33578,254165,673131,NS541731,"Bearsden North","",1980-01-01,,68,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
G61 3JW,Yes,55.930199,-4.335143,254209,673256,NS542732,"Bearsden North","",1980-01-01,,70,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
G61 3JX,Yes,55.928617,-4.334695,254231,673079,NS542730,"Bearsden North","",1980-01-01,,68,Scotland,2021-11-12,"Within the building of the matched address closest to the postcode mean",S01008057,"Kilmardinny West - 04"
